,brand,categories,currency,dateSeen,gender,id,name,price,sizes
3734,nike,[shoes],USD,2015-10-12T00:00:00Z,M,AVpf8uBPLJeJML43GbsV,Nike Men's Air Max 1 Qs Casual Shoe,280,
107389,nike,"[Athletic, Team Sports, Men, Basketball, Shoes]",USD,2016-02-01T00:00:00Z,M,AVpfKmY61cnluZ0-fTyY,Nike Men's Kyrie 1 As Basketball Shoe,279.99,
20595,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpgvEZPilAPnD_xwqVP,"Nike Air Jordan 6/vi Retro ""infrared"" 2014 384664-123 Sz10.5",279.95,
123965,nike,[shoes],USD,2015-04-16T08:30:32.455Z,M,AVpgjjErLJeJML43PjkE,Nike Mens Lebron Xii Ext Qs Wheat/metallic Gold Suede Basketball,279,
173906,nike,[shoes],USD,2015-04-18T14:05:35.723Z,M,AVpghGmTilAPnD_xthzL,"Nike Lebron Xi All Star ""gator King"" Men's Basketball Shoes Cashmere/green Glow-purple 647780-735",279,
190307,nike,[shoes],USD,2015-05-22T13:08:36.768Z,M,AVpg84GDilAPnD_xzU3U,Nike Men's Kd Vii Ext Floral Qs,277,
184053,nike,"[Shoes, Men, Athletic, Team Sports, Basketball]",USD,2015-04-19T14:43:04.382Z,M,AVpe6QCfilAPnD_xQqEg,Nike Mens Air Jordan 8 Retro Basketball Shoes,275,
217882,nike,"[Shoes, Men, Athletic, Team Sports, Basketball]",USD,2015-10-12T00:00:00Z,M,AVpgboF0LJeJML43N0GX,"Nike Mens Air Jordan 6 Retro ""infrared"" Suede Basketball Shoes",275,
228148,nike,[shoes],USD,2015-04-19T23:42:38.288Z,IDK,AVphaj531cnluZ0-CNAJ,Nike - Air Jordan 6 Retro Infrared - Color: Red-white - Size: 13.5us,275,
104943,nike,[shoes],USD,2015-10-12T00:00:00Z,IDK,AVpf6E3AilAPnD_xkV1b,Air Jordan 6 Retro Gs Kids-384665-123,274.99,[7Y]
40939,nike,[shoes],USD,2015-04-21T08:49:24.675Z,M,AVpiUy5dilAPnD_xDEgC,Nike Air Penny Ii Le Men's Fashion Sneakers Soar/cyber-white- Black 535600-431,274.95,
241321,nike,[shoes],USD,2015-04-20T11:35:44.501Z,IDK,AVpfEAutLJeJML431jnT,Nike Little Posite Pro 'yeezy' Grade School (gs) Kids Shoes Black/black 644792-001 (size: 4y),274,
270200,nike,"[Shoes, Athletic, Team Sports, Men, Basketball, Fashion Sneakers]",USD,2016-03-19T00:00:00Z,M,AVpf2HcVilAPnD_xjVLE,Jordan 7 Retro Mens,271.99,
92174,nike,[shoes],USD,2015-04-21T07:49:35.661Z,M,AVpgluKC1cnluZ0-3m-x,Nike Men's Flyknit Lunar3,271,
189160,nike,[shoes],USD,2015-04-21T10:23:32.512Z,IDK,AVpg4cyu1cnluZ0-7fR9,Nike Air Jordan Retro 10 Men Sneakers White/black/ Dark Powder Blue 310805-106 (size: 10),269.99,
261191,nike,[shoes],USD,2015-04-20T23:12:50.077Z,IDK,AVpiPFo1LJeJML43jskJ,Nike Lebron X 541100 005 Floridian (size 10.5),269.95,
175219,nike,[shoes],USD,2015-04-20T16:15:22.345Z,M,AVpgltsNLJeJML43QDEc,"Nike Mens Size? Rosherun ""urban Safari"" Black/stadium Grey-gigital Pink Mesh Running",269,
288225,nike,[shoes],USD,2015-04-20T17:25:24.616Z,M,AVpihpjZLJeJML43mhHf,Nike Men's Free Flyknit Nsw,269,
85636,nike,[shoes],USD,2015-04-17T04:50:02.118Z,IDK,AVpfh0lrilAPnD_xdXtU,"Nike Air Jordan ""doernbecher"" 10 Retro Grade School Size (black / Gym Red) 641746-060 (4.5)",265,
75609,nike,"[Shoes, Men's Shoes, Running Shoes, Road Running Shoes]",USD,2015-10-12T00:00:00Z,M,AVpf6kF_1cnluZ0-teYF,Nike Flyknit Racer Oreo Black White Mens Running Shoes,264,
180212,nike,[shoes],USD,2015-04-21T13:41:57.279Z,IDK,AVphj8WoLJeJML43cVTu,Nike Air Jordan 4 Retro 'tech Grey' - Oreo - 314254-003,260,
255566,nike,[shoes],USD,2015-04-20T16:23:47.258Z,IDK,AVphwiFQLJeJML43efzJ,Nike Lebron Xi (gs) 621712-800 Size 4.5y Forging Iron Retro Miami Heat,260,
125611,nike,[shoes],USD,2015-04-20T17:17:34.294Z,W,AVpgvBHULJeJML43SIVw,Nike Lunar Hyperworkout+ Sport Pack Women's Training Shoes,259.99,
224780,nike,[shoes],USD,2015-04-20T17:17:56.405Z,M,AVphO3h7LJeJML43YbP7,Nike Men's Air Max 2014 Running Shoes (uk 10 - Us 11),256.99,
243455,nike,[shoes],USD,2015-04-20T20:18:05.935Z,M,AVpgs1NsLJeJML43RqBx,Nike Men's Air Max 2014 Running Shoes (uk 8 - Us 9),256.99,
259126,nike,[shoes],USD,2015-04-20T16:09:04.337Z,M,AVpiFAs4LJeJML43iAqP,Nike Men's Air Max 2014 Running Shoes (uk 11.5 - Us 12.5),256.99,
41795,nike,[shoes],USD,2015-04-20T18:36:45.690Z,M,AVpiXz_4ilAPnD_xDiPK,Nike Men's Air Max 2014 Running Shoes (uk 11 - Us 12),256.99,
