,index,brand,categories,id,name,price,currency,dateSeen,sizes,gender
236,100414,j renee,[shoes],AVpe5-oRilAPnD_xQjfi,J. Renee Ditte Pumps,89.0,USD,2015-05-31T18:18:22.691Z,,IDK
237,100415,dc kids,[Shoes],AVpe5-pG1cnluZ0-Zgdl,Spartan High Se (little Kid),32.99,USD,2016-01-11T00:00:00Z,,IDK
238,100419,volatile,[Shoes],AVpe50ozLJeJML43x7Z0,Dip,25.99,USD,2016-05-05T00:00:00Z,"[10, 8.5, 7, 6, 6.5, 7.5, 9, 8]",IDK
239,100420,badgley mischka,"[women, Shoes, Pumps, Peep Toe]",AVpe50wVLJeJML43x7ch,'petal' Pump,157.05,USD,2015-05-19T18:01:24.379Z,"[5, 8.5, 10, 7, 9.5, 6.5, 7.5, 8, 11]",W
240,100427,patrizia,"[Shoes, Boots]",AVpe52gOLJeJML43x8F0,Chateau,24.99,USD,2016-05-05T00:00:00Z,,IDK
241,100428,taos footwear,"[Shoes, Boots]",AVpe52sj1cnluZ0-Zdjl,Artisan,141.99,USD,2016-05-05T00:00:00Z,"[42, 41, 40, 36, 39, 37, 38]",IDK
242,10043,keds,[Shoes],AVpfHgWZ1cnluZ0-eReC,Double Up Seasonal Solids,29.99,USD,2015-10-14T00:00:00Z,"[8.5, 5.5, 7, 9.5, 5, 6.5, 7.5, 9]",IDK
243,100431,puma,[Finish Line Athletic Shoes],AVpe53n11cnluZ0-Zd10,Puma Boys' Cabana Racer Superman Running Sneakers From Finish Line,44.99,USD,2016-03-01T00:00:00Z,,IDK
244,100436,tommy bahama,[Shoes],AVpe562QLJeJML43x9ou,Beach Drifter,27.99,USD,2015-10-28T00:00:00Z,"[10.5, 8.5, 9, 8, 12]",IDK
245,100437,crocs,"[Sandals, Shoes]",AVpe56E41cnluZ0-Zevj,A-leigh Cork Wrap Wedge,19.5,USD,2016-04-29T00:00:00Z,[11],IDK
246,100439,jumping jacks,"[Kids, Shoes, Girls' Shoes, Boots Booties]",AVpe56ZJ1cnluZ0-Ze3X,"'miranda' Boot (toddler, Little Kid Big Kid)",44.95,USD,2015-11-05T00:00:00Z,,W
247,100441,original penguin,"[Sandals, Shoes]",AVpe56lDLJeJML43x9h7,Sripe Thong,14.99,USD,2015-10-28T00:00:00Z,"[10, 7, 9, 8, 13, 11, 12]",IDK
248,100442,nike,"[Shoes, Men, Athletic]",AVpe57501cnluZ0-ZfcB,Hypervenom Running Trainers 747139 Sneakers,109.99,USD,2016-01-16T00:00:00Z,,M
249,100444,reebok kids,[Shoes],AVpe57HVilAPnD_xQiK1,Zigtech Big N Fast Ex (big Kid),79.99,USD,2016-02-13T00:00:00Z,,IDK
250,100445,woolrich,"[Shoes, Boots]",AVpe57OhLJeJML43x9xI,Rockies,200.0,USD,2016-06-20T00:00:00Z,"[10.5, 10, 8.5, 7, 6, 9.5, 6.5, 7.5, 9, 8, 11]",IDK
251,100447,dance class,"[Athletic, Women, Shoes]",AVpe57f-1cnluZ0-ZfSY,Dance Class Women's Gb101 Spandex Gore Jazz Shoe,24.99,USD,2016-05-11T00:00:00Z,,W
252,100448,nike,[Shoes],AVpe57oYilAPnD_xQiXO,Tiempo Mystic V Fg,68.0,USD,2016-06-19T00:00:00Z,"[10.5, 8.5, 10, 7, 6, 9.5, 6.5, 7.5, 12.5, 9, 11.5, 8, 13, 11, 12]",IDK
253,100449,lucky brand,[shoes],AVpe583s1cnluZ0-Zfyt,Lucky Brand Deldonna Flat Sandals,49.0,USD,2015-05-11T18:03:38.469Z,,IDK
254,100450,frye,[Girls' Shoes],AVpe584SLJeJML43x-ZT,Greene Low Lace Tod/pre,42.98,USD,2015-07-19T05:00:00Z,,W
255,100453,adidas running,[Shoes],AVpe58IdLJeJML43x-Hb,Slingshot Trail,44.99,USD,2016-06-14T00:00:00Z,"[10.5, 10, 8.5, 7, 9.5, 6.5, 7.5, 12.5, 11.5, 9, 8, 13, 12]",IDK
256,100457,nike,"[Academy, Men's Training Shoes, Footwear, Men's Shoes]",AVpe58YFilAPnD_xQioq,Nike Men's Air Max Effort Tr Amp Training Shoes,109.99,USD,2015-11-08T00:00:00Z,,M
257,100458,j renee,[shoes],AVpe58jyLJeJML43x-Rd,J. Rene Cally Ankle Boots,77.99,USD,2015-05-27T18:14:17.700Z,,IDK
258,10046,marc by marc jacobs,"[Women, Contemporary, Shoes, Sneakers]",AVpfHgmZLJeJML432v5b,'broome' Slip-on Sneaker (women),166.16,USD,2015-11-05T00:00:00Z,,W
259,100460,cienta,[Girls' Shoes],AVpe58utLJeJML43x-Vh,Mary Jane Sparkle,36.95,USD,2015-07-18T05:00:00Z,,W
260,100461,rocket dog,[Women's Shoes],AVpe58w4ilAPnD_xQix9,Canna Espadrille Flat,39.95,USD,2015-07-15T05:00:00Z,"[5M, 5.5M, 6M, 6.5M, 7M, 7.5M, 8M, 8.5M, 9M, 9.5M, 10M, 11M, 12M, 13M, 14M, 15M]",W
261,100463,alegria,"[Shoes, Boots]",AVpe59Cd1cnluZ0-Zf2z,Kylie,59.99,USD,2016-05-05T00:00:00Z,,IDK
